name,popularity,track_number,type,duration_ms,artists_list,release_date,artist_name,artist_popularity,artist_followers,artist_genres,artist_main_artist
"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",61,1,track,158994,"David Guetta,Bebe Rexha,Ty Dolla $ign,A Boogie Wit da Hoodie",2021-10-29,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",True
Sacrifice,58,1,track,160871,Bebe Rexha,2021-03-05,Bebe Rexha,77,8608960,"['dance pop', 'pop']",True
8TEEN,77,7,track,228600,Khalid,2017-04-27,Khalid,81,16167554,"['pop', 'pop r&b']",True
Saturday Nights,72,3,track,210666,Khalid,2018-10-18,Khalid,81,16167554,"['pop', 'pop r&b']",True
Outta My Head (with John Mayer),69,10,track,177066,"Khalid,John Mayer",2019-04-05,Khalid,81,16167554,"['pop', 'pop r&b']",True
Coaster,71,6,track,199120,Khalid,2017-04-27,Khalid,81,16167554,"['pop', 'pop r&b']",True
Know Your Worth,70,1,track,181436,"Khalid,Disclosure",2020-02-04,Khalid,81,16167554,"['pop', 'pop r&b']",True
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",78,8,track,223413,"Calvin Harris,Pharrell Williams,Katy Perry,Big Sean,Funk Wav",2017-06-30,Calvin Harris,82,23408452,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",True
Harleys In Hawaii,77,10,track,185480,Katy Perry,2020-08-28,Katy Perry,81,30086713,['pop'],True
Roar,81,1,track,223546,Katy Perry,2013-01-01,Katy Perry,81,30086713,['pop'],True
California Gurls,77,3,track,234653,"Katy Perry,Snoop Dogg",2012-03-12,Katy Perry,81,30086713,['pop'],True
I Kissed A Girl,75,2,track,179640,Katy Perry,2008-06-17,Katy Perry,81,30086713,['pop'],True
Bon Appétit,68,11,track,227813,"Katy Perry,Migos",2017-06-09,Katy Perry,81,30086713,['pop'],True
Si Tu Novio Te Deja Sola,78,1,track,243560,"J Balvin,Bad Bunny",2017-03-03,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",True
UN DIA (ONE DAY) (Feat. Tainy),74,1,track,232253,"J Balvin,Dua Lipa,Bad Bunny,Tainy",2020-07-24,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",True
Sensualidad,74,1,track,297485,"Bad Bunny,Prince Royce,J Balvin,Mambo Kingz,DJ Luian",2017-11-03,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
Bonita,74,1,track,265746,"J Balvin,Jowell & Randy",2017-06-02,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",True
No Es Justo,71,5,track,250840,"J Balvin,Zion & Lennox",2018-05-25,J Balvin,83,37770548,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",True
I Lived,77,5,track,234546,OneRepublic,2013-01-01,OneRepublic,80,16390313,"['piano rock', 'pop']",True
Apologize,76,4,track,208106,OneRepublic,2007-11-20,OneRepublic,80,16390313,"['piano rock', 'pop']",True
Good Life,76,6,track,253306,OneRepublic,2009-01-01,OneRepublic,80,16390313,"['piano rock', 'pop']",True
West Coast,70,1,track,192947,OneRepublic,2022-02-25,OneRepublic,80,16390313,"['piano rock', 'pop']",True
Nikita,71,4,track,343240,Elton John,1985-11-07,Elton John,80,12420077,"['glam rock', 'mellow gold', 'piano rock', 'rock']",True
Llamado de Emergencia,80,5,track,239920,Daddy Yankee,2008-08-12,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
La Despedida,77,5,track,202826,Daddy Yankee,2010-04-27,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
Limbo,77,10,track,224693,Daddy Yankee,2012-01-01,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
No Me Dejes Solo,72,4,track,170240,"Daddy Yankee,Wisin & Yandel",2004-07-13,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
Pasarela,73,5,track,193626,Daddy Yankee,2012-01-01,Daddy Yankee,83,33804366,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",True
Vaina Loca,78,3,track,176133,"Ozuna,Manuel Turizo",2018-08-24,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",True
El Farsante,77,13,track,233826,Ozuna,2017-08-25,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",True
Dile Que Tu Me Quieres,77,5,track,226520,Ozuna,2017-08-25,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",True
"Yo x Ti, Tu x Mi",75,1,track,201040,"ROSALÍA,Ozuna",2019-08-15,ROSALÍA,78,7977482,"['latin viral pop', 'pop', 'r&b en espanol']",True
Síguelo Bailando,75,11,track,226800,Ozuna,2017-08-25,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",True
Solita,76,1,track,311726,"Ozuna,Mambo Kingz,DJ Luian,Bad Bunny,Wisin,Almighty",2018-01-19,Ozuna,83,37816472,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",True
King of Hearts,65,3,track,171080,Kim Petras,2023-06-23,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",True
Treat Me Like A Ho,63,6,track,115826,Kim Petras,2023-09-18,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",True
There Will Be Blood,60,2,track,197651,Kim Petras,2020-10-23,Kim Petras,73,998311,"['alt z', 'pop', 'transpop']",True
